,GP,circuit,location,country,lap,position,lap_time_ms,code,name,lap_time
146,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,28,2,87016.0,VER,Max Verstappen,00:01:27.016000
147,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,29,2,87225.0,VER,Max Verstappen,00:01:27.225000
148,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,30,2,86587.0,VER,Max Verstappen,00:01:26.587000
149,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,31,2,87427.0,VER,Max Verstappen,00:01:27.427000
150,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,32,2,86924.0,VER,Max Verstappen,00:01:26.924000
151,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,33,2,87334.0,VER,Max Verstappen,00:01:27.334000
152,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,34,2,86964.0,VER,Max Verstappen,00:01:26.964000
153,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,35,2,87031.0,VER,Max Verstappen,00:01:27.031000
154,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,36,2,87302.0,VER,Max Verstappen,00:01:27.302000
155,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,37,2,86621.0,VER,Max Verstappen,00:01:26.621000
156,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,38,2,87038.0,VER,Max Verstappen,00:01:27.038000
157,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,39,2,86908.0,VER,Max Verstappen,00:01:26.908000
158,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,40,2,87174.0,VER,Max Verstappen,00:01:27.174000
159,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,41,2,132343.0,VER,Max Verstappen,00:02:12.343000
160,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,42,2,91322.0,VER,Max Verstappen,00:01:31.322000
161,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,43,2,86494.0,VER,Max Verstappen,00:01:26.494000
162,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,44,2,86613.0,VER,Max Verstappen,00:01:26.613000
163,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,45,2,85928.0,VER,Max Verstappen,00:01:25.928000
164,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,46,2,85030.0,VER,Max Verstappen,00:01:25.030000
165,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,47,2,86407.0,VER,Max Verstappen,00:01:26.407000
166,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,48,2,86220.0,VER,Max Verstappen,00:01:26.220000
167,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,49,2,85960.0,VER,Max Verstappen,00:01:25.960000
168,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,50,2,85991.0,VER,Max Verstappen,00:01:25.991000
169,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,51,2,86004.0,VER,Max Verstappen,00:01:26.004000
170,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,52,2,85935.0,VER,Max Verstappen,00:01:25.935000
171,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,53,2,86088.0,VER,Max Verstappen,00:01:26.088000
172,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,54,2,84031.0,VER,Max Verstappen,00:01:24.031000
173,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,55,2,142713.0,VER,Max Verstappen,00:02:22.713000
174,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,56,2,116876.0,VER,Max Verstappen,00:01:56.876000
175,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,57,2,83196.0,VER,Max Verstappen,00:01:23.196000
176,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,1,3,86704.0,VER,Max Verstappen,00:01:26.704000
177,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,2,3,130993.0,VER,Max Verstappen,00:02:10.993000
178,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,3,3,164990.0,VER,Max Verstappen,00:02:44.990000
179,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,4,3,135089.0,VER,Max Verstappen,00:02:15.089000
180,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,5,3,120539.0,VER,Max Verstappen,00:02:00.539000
181,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,6,3,128636.0,VER,Max Verstappen,00:02:08.636000
182,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,7,2,84011.0,VER,Max Verstappen,00:01:24.011000
183,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,8,2,83166.0,VER,Max Verstappen,00:01:23.166000
184,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,9,2,83146.0,VER,Max Verstappen,00:01:23.146000
185,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,10,2,83631.0,VER,Max Verstappen,00:01:23.631000
186,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,11,3,84704.0,VER,Max Verstappen,00:01:24.704000
187,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,12,3,82568.0,VER,Max Verstappen,00:01:22.568000
